City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Steinbach,DE,2022-05-11 21:59:32,50.1667,8.5667,70.88,37,0,9.22
239,San Mateo Ixtatan,GT,2022-05-11 21:59:32,15.8319,-91.4781,60.76,44,64,8.12
240,Fairbanks,US,2022-05-11 21:57:44,64.8378,-147.7164,50.02,41,40,4.0
241,Kholtoson,RU,2022-05-11 21:59:33,50.2981,103.3097,23.41,61,7,4.14
242,Chinhoyi,ZW,2022-05-11 21:59:33,-17.3667,30.2,67.3,62,99,3.18
243,Ravar,IR,2022-05-11 21:59:34,31.2656,56.8055,74.89,9,0,5.32
244,Kamenka,RU,2022-05-11 21:59:34,51.3223,42.7678,46.26,96,100,13.04
245,Gualeguaychu,AR,2022-05-11 21:59:35,-33.0094,-58.5172,52.7,76,14,7.56
246,Jega,NG,2022-05-11 21:59:35,12.2175,4.3792,82.22,62,91,16.96
247,Sucua,EC,2022-05-11 21:59:36,-2.4667,-78.1667,79.54,65,20,8.05
248,Nanortalik,GL,2022-05-11 21:59:37,60.1432,-45.2371,34.27,99,100,12.93
249,Hohhot,CN,2022-05-11 21:59:37,40.8106,111.6522,39.49,38,0,6.71
250,Vaitape,PF,2022-05-11 21:59:38,-16.5167,-151.75,81.64,76,17,16.2
251,Suluq,LY,2022-05-11 21:59:39,31.6682,20.2521,70.93,37,94,14.5
252,La Ronge,CA,2022-05-11 21:59:39,55.1001,-105.2842,59.22,36,40,8.05
253,Sur,OM,2022-05-11 21:59:40,22.5667,59.5289,87.66,34,47,8.1
254,Zigong,CN,2022-05-11 21:59:41,29.3416,104.7769,66.49,91,100,3.49
255,Sitka,US,2022-05-11 21:59:41,57.0531,-135.33,50.0,59,100,2.75
256,Prince Rupert,CA,2022-05-11 21:58:35,54.3161,-130.3201,46.49,85,100,12.66
257,Christchurch,NZ,2022-05-11 21:55:05,-43.5333,172.6333,53.42,90,41,1.14
258,Gunnedah,AU,2022-05-11 21:59:43,-30.9833,150.25,60.53,87,100,5.79
259,Mareeba,AU,2022-05-11 21:59:44,-17.0,145.4333,70.52,96,99,2.17
260,Ahipara,NZ,2022-05-11 21:59:44,-35.1667,173.1667,59.25,57,0,5.77
261,Makakilo City,US,2022-05-11 21:59:45,21.3469,-158.0858,80.01,66,56,15.57
262,Cayenne,GF,2022-05-11 21:59:46,4.9333,-52.3333,82.09,1,75,10.36
263,Buraydah,SA,2022-05-11 21:59:46,26.326,43.975,82.85,14,0,9.33
264,Talnakh,RU,2022-05-11 21:59:47,69.4865,88.3972,29.21,98,100,6.2
265,Onega,RU,2022-05-11 21:59:47,63.9061,38.1404,47.43,68,100,7.76
266,Silver City,US,2022-05-11 21:59:48,32.7701,-108.2803,85.96,11,0,17.0
267,Champerico,GT,2022-05-11 21:59:49,14.3,-91.9167,95.54,61,100,7.63
268,Belize,BZ,2022-05-11 22:00:49,17.25,-88.75,90.9,40,5,8.55
269,Bandarbeyla,SO,2022-05-11 22:00:51,9.4942,50.8122,81.7,83,100,9.01
270,Santiago,CL,2022-05-11 21:59:03,-33.4569,-70.6483,70.99,44,75,9.22
271,Katangli,RU,2022-05-11 22:00:52,51.7102,143.2326,33.12,98,100,9.95
272,Arinos,BR,2022-05-11 22:00:52,-15.9169,-46.1056,71.53,42,83,1.19
273,Bayevo,RU,2022-05-11 22:00:53,53.2833,80.7667,50.16,45,100,6.93
274,Berlevag,NO,2022-05-11 22:00:54,70.8578,29.0864,37.2,98,100,16.4
275,Gravdal,NO,2022-05-11 22:00:54,68.1214,13.5031,41.95,95,41,5.84
276,Kargasok,RU,2022-05-11 22:00:55,59.0556,80.8572,44.82,55,100,7.2
277,Turayf,SA,2022-05-11 22:00:56,31.6725,38.6637,64.9,30,1,10.85
278,Korgen,NO,2022-05-11 22:00:57,66.0771,13.8153,41.18,92,100,4.47
279,Houma,US,2022-05-11 22:00:57,29.5958,-90.7195,90.0,62,0,4.0
280,Pandan,PH,2022-05-11 22:00:58,14.0453,124.1694,79.05,82,56,6.51
281,Coquimbo,CL,2022-05-11 22:00:59,-29.9533,-71.3436,58.23,85,79,1.23
282,Upernavik,GL,2022-05-11 22:01:00,72.7868,-56.1549,18.97,85,78,7.27
283,Cidreira,BR,2022-05-11 22:01:01,-30.1811,-50.2056,61.86,81,71,12.84
284,Codrington,AU,2022-05-11 22:01:01,-38.2667,141.9667,56.32,94,100,6.98
285,Boundiali,CI,2022-05-11 22:01:02,9.5217,-6.4869,77.0,70,43,6.2
286,Chahuites,MX,2022-05-11 22:01:02,16.2833,-94.1833,101.84,24,21,16.26
287,Arlit,NE,2022-05-11 22:01:03,18.7369,7.3853,90.03,11,0,13.56
288,Aswan,EG,2022-05-11 22:01:04,24.0934,32.907,84.38,17,2,15.39
289,Eyl,SO,2022-05-11 22:01:05,7.9803,49.8164,82.44,83,62,10.27
290,Cabo San Lucas,MX,2022-05-11 22:00:02,22.8909,-109.9124,89.62,52,1,9.48
291,Kumluca,TR,2022-05-11 22:01:05,36.3703,30.2869,63.81,64,1,3.76
292,Askiz,RU,2022-05-11 22:01:06,53.1319,90.5264,37.96,51,4,1.52
293,Ust-Kulom,RU,2022-05-11 22:01:07,61.6864,53.6902,49.24,94,100,5.84
294,Bowen,AU,2022-05-11 22:01:08,-20.0167,148.2333,73.62,91,100,8.3
