City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Saint Anthony,US,45.0205,-93.218,74.41,53,0,16.11,clear sky
187,Saldanha,ZA,-33.0117,17.9442,59.65,71,81,6.31,broken clouds
188,Karwar,IN,14.8,74.1333,82.49,84,94,8.48,overcast clouds
189,Pucallpa,PE,-8.3791,-74.5539,84.24,70,40,6.91,scattered clouds
190,Lagoa,PT,39.05,-27.9833,60.42,71,9,10.27,clear sky
191,Longyearbyen,SJ,78.2186,15.6401,21.04,58,0,13.8,clear sky
192,Jutai,BR,-5.1833,-68.9,86.23,66,49,3.2,scattered clouds
193,Saint George,US,37.1041,-113.5841,66.43,21,0,4.0,clear sky
194,Champerico,GT,14.3,-91.9167,90.14,63,2,2.48,clear sky
195,Ardakan,IR,32.31,54.0175,77.76,18,0,16.84,clear sky
196,Port Hardy,CA,50.6996,-127.4199,43.92,73,46,11.9,scattered clouds
197,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,74,44,9.86,scattered clouds
198,Tilichiki,RU,60.4667,166.1,32.52,96,100,0.92,overcast clouds
199,Yumen,CN,40.2833,97.2,47.89,52,94,8.32,overcast clouds
200,Kedrovka,RU,55.5333,86.05,68.88,37,4,4.88,clear sky
201,Veraval,IN,20.9,70.3667,84.33,78,0,17.18,clear sky
202,Ouadda,CF,8.0777,22.4007,83.61,54,72,3.4,light rain
203,Kruisfontein,ZA,-34.0033,24.7314,61.88,77,14,14.09,few clouds
204,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.17,47,66,3.67,broken clouds
205,Manta,EC,-0.95,-80.7333,78.58,83,100,4.61,overcast clouds
206,Orchard Homes,US,46.8633,-114.0484,45.39,49,75,11.5,broken clouds
207,Buraydah,SA,26.326,43.975,90.07,12,0,13.2,clear sky
208,Newport,GB,51.5877,-2.9984,64.08,72,100,20.42,overcast clouds
209,Klaksvik,FO,62.2266,-6.589,45.52,69,79,20.78,broken clouds
210,Teofilo Otoni,BR,-17.8575,-41.5053,80.26,59,99,3.4,overcast clouds
211,Castro,BR,-24.7911,-50.0119,70.27,53,6,2.39,clear sky
212,Baruun-Urt,MN,46.6806,113.2792,37.26,80,46,6.73,scattered clouds
213,Leningradskiy,RU,69.3833,178.4167,16.7,79,31,6.6,scattered clouds
214,Mae Chan,TH,20.1467,99.8526,76.78,82,5,1.9,clear sky
215,Kutum,SD,14.2,24.6667,95.22,8,12,11.79,few clouds
216,Aguimes,ES,27.9054,-15.4461,71.65,64,20,10.36,few clouds
217,Colares,PT,38.7992,-9.4469,88.79,34,0,4.61,clear sky
218,East London,ZA,-33.0153,27.9116,65.01,71,1,9.82,clear sky
219,Kloulklubed,PW,7.0419,134.2556,73.9,78,100,5.37,overcast clouds
220,Deputatskiy,RU,69.3,139.9,13.69,96,100,2.39,light snow
221,Meadow Lake,US,34.8014,-106.5436,72.68,14,3,5.84,clear sky
222,Idil,TR,37.3411,41.8895,64.94,45,0,8.86,clear sky
223,Narsaq,GL,60.9167,-46.05,39.42,86,96,7.18,overcast clouds
224,Ouallam,NE,14.3188,2.0866,109.9,12,19,7.54,few clouds
225,Krasnokholmskiy,RU,55.9873,55.0466,45.34,75,69,2.82,broken clouds
226,Grand Forks,US,47.9417,-97.4337,57.78,67,100,36.82,overcast clouds
227,Slavuta,UA,50.3016,26.8651,62.8,67,100,4.41,overcast clouds
228,Lahaina,US,20.8783,-156.6825,73.81,84,61,7.34,broken clouds
229,Sao Filipe,CV,14.8961,-24.4956,76.32,69,14,3.31,few clouds
230,Ranong,TH,9.9658,98.6348,80.42,86,100,6.85,overcast clouds
231,Jumla,NP,29.2747,82.1838,58.41,82,79,1.23,broken clouds
232,Havre-Saint-Pierre,CA,50.2334,-63.5986,42.08,89,100,6.2,overcast clouds
233,Mitsamiouli,KM,-11.3847,43.2844,80.01,70,8,8.32,clear sky
234,Barreirinha,BR,-2.7933,-57.07,85.89,69,66,4.59,broken clouds
235,Berdigestyakh,RU,62.0989,126.6992,29.26,90,95,8.95,overcast clouds
236,Mount Pleasant,US,32.7941,-79.8626,77.18,84,75,12.66,broken clouds
237,Talnakh,RU,69.4865,88.3972,38.21,100,100,8.1,light rain
238,Pevek,RU,69.7008,170.3133,22.51,78,2,15.23,clear sky
239,Ploemeur,FR,47.7333,-3.4333,64.85,63,0,12.66,clear sky
240,Kaitangata,NZ,-46.2817,169.8464,51.6,72,100,8.05,moderate rain
241,Ulcinj,ME,41.9294,19.2244,79.02,71,44,6.73,scattered clouds
242,Bonavista,CA,48.6499,-53.1147,41.43,67,37,5.01,scattered clouds
243,Shimoda,JP,34.6667,138.95,68.11,98,100,16.08,moderate rain
244,Avera,US,33.194,-82.5271,72.55,75,99,10.36,overcast clouds
245,Alexandria,EG,31.2156,29.9553,70.9,64,63,16.75,broken clouds
246,Fare,PF,-16.7,-151.0167,80.94,71,2,14.34,clear sky
247,Puerto Maldonado,PE,-12.6,-69.1833,86.4,62,40,2.3,scattered clouds
248,Seoul,KR,37.5683,126.9778,56.64,47,77,5.68,broken clouds
249,Luderitz,NA,-26.6481,15.1594,61.38,62,99,17.72,overcast clouds
250,Hualmay,PE,-11.0964,-77.6139,68.88,74,24,10.0,few clouds
251,Grandview,US,38.8858,-94.533,72.82,85,0,12.66,clear sky
252,Sitka,US,57.0531,-135.33,46.29,71,20,0.0,few clouds
253,Tumut,AU,-35.3,148.2167,60.58,93,54,2.8,broken clouds
254,Miri,MY,4.4148,114.0089,77.92,89,100,5.39,overcast clouds
255,Gubkinskiy,RU,64.434,76.5026,52.02,83,3,5.66,clear sky
256,Nikolskoye,RU,59.7035,30.7861,57.09,58,78,12.48,broken clouds
257,Ixtapa,MX,20.7,-105.2,81.63,69,20,5.75,few clouds
258,Awjilah,LY,29.1081,21.2869,80.83,32,4,10.45,clear sky
259,Petrokamenskoye,RU,57.716,60.6484,45.16,90,92,8.43,light rain
260,Tautira,PF,-17.7333,-149.15,79.88,77,30,18.16,light rain
261,Pervomayskiy,RU,53.2485,40.2871,52.93,71,75,13.27,broken clouds
262,Aneho,TG,6.2333,1.6,85.84,70,11,14.7,few clouds
263,Lata,PT,40.1629,-8.3327,86.92,42,90,10.51,overcast clouds
264,Sorata,BO,-15.7667,-68.6333,55.99,53,2,8.68,clear sky
265,Quatre Cocos,MU,-20.2078,57.7625,75.31,73,29,13.35,scattered clouds
266,Severo-Kurilsk,RU,50.6789,156.125,38.62,97,100,13.11,overcast clouds
267,Belyy Yar,RU,53.6039,91.3903,53.85,30,0,2.24,clear sky
268,Chalus,IR,36.655,51.4204,57.83,88,95,5.26,overcast clouds
269,Saint-Philippe,RE,-21.3585,55.7679,71.19,69,4,5.68,clear sky
270,Labuan,MY,5.2767,115.2417,83.17,76,100,8.19,overcast clouds
271,Chuy,UY,-33.6971,-53.4616,64.47,55,35,4.63,scattered clouds
272,Binabalian,PH,16.4202,119.9279,84.31,74,47,5.73,scattered clouds
273,Geraldton,AU,-28.7667,114.6,61.21,82,100,0.0,overcast clouds
274,Itarema,BR,-2.9248,-39.9167,81.5,81,100,15.37,overcast clouds
275,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,64.31,56,25,4.21,scattered clouds
276,Balikpapan,ID,-1.2675,116.8289,76.75,87,93,2.8,overcast clouds
277,Aitape,PG,-3.1374,142.3475,78.24,80,87,3.62,overcast clouds
278,Poum,NC,-20.2333,164.0167,76.64,74,100,29.33,overcast clouds
279,Jalu,LY,29.0331,21.5482,80.67,36,6,9.15,clear sky
280,Ahuimanu,US,21.4447,-157.8378,73.2,79,75,10.36,light rain
281,Ponca City,US,36.707,-97.0856,80.94,70,0,9.22,clear sky
282,Ribeira Grande,PT,38.5167,-28.7,63.0,67,20,4.61,few clouds
283,Novoukrainskoye,RU,45.3783,40.5297,57.97,75,0,8.72,clear sky
284,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,23.02,few clouds
285,Le Port,RE,-20.9373,55.2919,73.36,68,55,3.98,broken clouds
286,Calvia,ES,39.5657,2.5062,79.09,61,30,1.5,scattered clouds
287,Casablanca,MA,33.5928,-7.6192,80.82,62,44,9.95,scattered clouds
288,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,90,75,7.0,broken clouds
289,Bintulu,MY,3.1667,113.0333,78.26,92,100,4.88,light rain
290,Altamira,BR,-3.2033,-52.2064,85.98,72,70,3.74,broken clouds
291,Sokoni,TZ,-6.4333,39.55,80.67,72,52,15.99,broken clouds
292,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,92.41,34,0,14.7,clear sky
